command;intent
please clean the green canvas boot next to the brown sandal;CLEAN
give the black sandal a quick clean with the rag;CLEAN
clean up the blue sandal;CLEAN
clean the dirty sandal with the rag next to sneaker_12;CLEAN
scrub the dirty spots on the white sandal;CLEAN
clean the mud off the red sneaker;CLEAN
get the dust off the boot_2 next to the cleaning brush with the rag;CLEAN
brush away the sand on the white leather sandal;CLEAN
use a brush on wet_boot_14 to clean it;CLEAN
the sneaker_4 is dirty clean it with the brush;CLEAN
clean the mud off the yellow sneaker next to spray_7;CLEAN
the sandal is dirty clean it with the brush;CLEAN
clean the mud off leather_boot_3;CLEAN
clean the mud off the canvas sandal next to the sole hammer;CLEAN
scrub the red canvas high boot with the brush;CLEAN
can you clean the sandal_3 using the cleaner;CLEAN
remove the dust from the sandal with the cleaner next to the black boot in the drying area;CLEAN
scrub the rubber sandal with the brush;CLEAN
wash the white sneaker with the cleaner;CLEAN
get the dust off the brown sneaker next to rag_4 on the floor with the rag;CLEAN
get the dust off the brown sandal with the rag;CLEAN
get the dust off the green sneaker_4 with the rag;CLEAN
scrub the blue boot with the brush next to cream_5 inside the tool area;CLEAN
scrub the black mid boot with the brush;CLEAN
wipe down brown_boot_6;CLEAN
clean the mud off the rubber boot next to the blue sneaker on the middle shelf;CLEAN
wipe the red rubber low sandal with the rag;CLEAN
use a brush on the sneaker_4 to clean it;CLEAN
wash wet_boot_11 with the cleaner;CLEAN
get the dust off the yellow sandal with the rag next to sole_glue_3 in the tool area;CLEAN
use the brush to clean the red leather sandal;CLEAN
wipe the dirt from the brown boot_8;CLEAN
brush the sneaker in the drying area next to the red boot;CLEAN
use the rag to clean the brown sneaker;CLEAN
the sneaker is dirty clean it with the cleaner;CLEAN
wipe down the black sneaker on the top shelf next to brush_12;CLEAN
make the sandal clean again with the rag;CLEAN
give the yellow boot a quick clean with the rag;CLEAN
clean green_sandal_9 inside the tool area next to the spray bottle with the rag;CLEAN
clean the red sandal with the cleaner;CLEAN
wash the sneaker with the cleaner;CLEAN
please clean the yellow sandal_88 from the middle shelf next to the green sandal;CLEAN
wipe the sandal with the rag;CLEAN
clean the brown sneaker with the brush;CLEAN
please clean canvas_sneaker_9;CLEAN
clean the red sandal on the floor next to cleaner_3 with the rag;CLEAN
wash the red sneaker with the cleaner;CLEAN
scrub the low sneaker with the brush;CLEAN
brush away the sand on the white sandal;CLEAN
make the green sneaker clean again with the rag;CLEAN
