sentence_ID,position_in_sentence,token,label,intent,
1,1,please,O,CLEAN,
1,2,clean,O,CLEAN,
1,3,the,O,CLEAN,
1,4,green,B-COLOR,CLEAN,
1,5,canvas,B-MATERIAL,CLEAN,
1,6,boot,B-SHOE_TYPE,CLEAN,
1,7,next,B-NEXT_TO_RELATION,CLEAN,
1,8,to,I-NEXT_TO_RELATION,CLEAN,
1,9,the,O,CLEAN,
1,10,brown,B-COLOR,CLEAN,
1,11,sandal,B-SHOE_TYPE,CLEAN,
2,1,give,O,CLEAN,
2,2,the,O,CLEAN,
2,3,black,B-COLOR,CLEAN,
2,4,sandal,B-SHOE_TYPE,CLEAN,
2,5,a,O,CLEAN,
2,6,quick,O,CLEAN,
2,7,clean,O,CLEAN,
2,8,with,B-BEFORE_SENTENCE_SPLIT,CLEAN,
2,9,the,O,CLEAN,
2,10,rag,B-CLEANING_TOOL_TYPE,CLEAN,
3,1,clean,O,CLEAN,
3,2,up,O,CLEAN,
3,3,the,O,CLEAN,
3,4,blue,B-COLOR,CLEAN,
3,5,sandal,B-SHOE_TYPE,CLEAN,
4,1,clean,O,CLEAN,
4,2,the,O,CLEAN,
4,3,dirty,B-CLEANING_STATUS,CLEAN,
4,4,sandal,B-SHOE_TYPE,CLEAN,
4,5,with,B-BEFORE_SENTENCE_SPLIT,CLEAN,
4,6,the,O,CLEAN,
4,7,rag,B-CLEANING_TOOL_TYPE,CLEAN,
4,8,next,B-NEXT_TO_RELATION,CLEAN,
4,9,to,I-NEXT_TO_RELATION,CLEAN,
4,10,sneaker_12,B-OBJECT_ID,CLEAN,
5,1,scrub,O,CLEAN,
5,2,the,O,CLEAN,
5,3,dirty,B-CLEANING_STATUS,CLEAN,
5,4,spots,O,CLEAN,
5,5,on,O,CLEAN,
5,6,the,O,CLEAN,
5,7,white,B-COLOR,CLEAN,
5,8,sandal,B-SHOE_TYPE,CLEAN,
6,1,clean,O,CLEAN,
6,2,the,O,CLEAN,
6,3,mud,B-DIRT_TYPE,CLEAN,
6,4,off,O,CLEAN,
6,5,the,O,CLEAN,
6,6,red,B-COLOR,CLEAN,
6,7,sneaker,B-SHOE_TYPE,CLEAN,
7,1,get,O,CLEAN,
7,2,the,O,CLEAN,
7,3,dust,B-DIRT_TYPE,CLEAN,
7,4,off,O,CLEAN,
7,5,the,O,CLEAN,
7,6,boot_2,B-OBJECT_ID,CLEAN,
7,7,next,B-NEXT_TO_RELATION,CLEAN,
7,8,to,I-NEXT_TO_RELATION,CLEAN,
7,9,the,O,CLEAN,
7,10,cleaning,O,CLEAN,
7,11,brush,B-CLEANING_TOOL_TYPE,CLEAN,
7,12,with,B-BEFORE_SENTENCE_SPLIT,CLEAN,
7,13,the,O,CLEAN,
7,14,rag,B-CLEANING_TOOL_TYPE,CLEAN,
8,1,brush,B-CLEANING_TOOL_TYPE,CLEAN,
8,2,away,O,CLEAN,
8,3,the,O,CLEAN,
8,4,sand,B-DIRT_TYPE,CLEAN,
8,5,on,O,CLEAN,
8,6,the,O,CLEAN,
8,7,white,B-COLOR,CLEAN,
8,8,leather,B-MATERIAL,CLEAN,
8,9,sandal,B-SHOE_TYPE,CLEAN,
9,1,use,O,CLEAN,
9,2,a,O,CLEAN,
9,3,brush,B-CLEANING_TOOL_TYPE,CLEAN,
9,4,on,B-AFTER_SENTENCE_SPLIT,CLEAN,
9,5,wet_boot_14,B-OBJECT_ID,CLEAN,
9,6,to,O,CLEAN,
9,7,clean,O,CLEAN,
9,8,it,O,CLEAN,
10,1,the,O,CLEAN,
10,2,sneaker_4,B-OBJECT_ID,CLEAN,
10,3,is,O,CLEAN,
10,4,dirty,B-CLEANING_STATUS,CLEAN,
10,5,clean,O,CLEAN,
10,6,it,O,CLEAN,
10,7,with,B-BEFORE_SENTENCE_SPLIT,CLEAN,
10,8,the,O,CLEAN,
10,9,brush,B-CLEANING_TOOL_TYPE,CLEAN,
11,1,clean,O,CLEAN,
11,2,the,O,CLEAN,
11,3,mud,B-DIRT_TYPE,CLEAN,
11,4,off,O,CLEAN,
11,5,the,O,CLEAN,
11,6,yellow,B-COLOR,CLEAN,
11,7,sneaker,B-SHOE_TYPE,CLEAN,
11,8,next,B-NEXT_TO_RELATION,CLEAN,
11,9,to,I-NEXT_TO_RELATION,CLEAN,
11,10,spray_7,B-OBJECT_ID,CLEAN,
12,1,the,O,CLEAN,
12,2,sandal,B-SHOE_TYPE,CLEAN,
12,3,is,O,CLEAN,
12,4,dirty,B-CLEANING_STATUS,CLEAN,
12,5,clean,O,CLEAN,
12,6,it,O,CLEAN,
12,7,with,B-BEFORE_SENTENCE_SPLIT,CLEAN,
