parser_name,model_check,category,n_cases,intent_accuracy,grounded_frame_exact_match,resolution_exact_match,execution_exact_match,end_to_end_exact_match,technical_error_count
rule_based,False,ALL,70,0.9285714285714286,0.8428571428571429,0.8714285714285714,0.8857142857142857,0.8428571428571429,0
rule_based,False,basic,20,1.0,1.0,1.0,1.0,1.0,0
rule_based,False,complex_reference,15,0.9333333333333333,0.6666666666666666,0.6666666666666666,0.7333333333333333,0.6666666666666666,0
rule_based,False,natural_language_variation,20,0.8,0.7,0.8,0.8,0.7,0
rule_based,False,truly_ambiguous_or_unresolvable,15,1.0,1.0,1.0,1.0,1.0,0
rule_based_stage3,True,ALL,70,0.9857142857142858,0.7857142857142857,0.7857142857142857,0.8571428571428571,0.7857142857142857,0
rule_based_stage3,True,basic,20,1.0,1.0,1.0,1.0,1.0,0
rule_based_stage3,True,complex_reference,15,1.0,0.8,0.8,1.0,0.8,0
rule_based_stage3,True,natural_language_variation,20,0.95,0.95,0.95,0.95,0.95,0
rule_based_stage3,True,truly_ambiguous_or_unresolvable,15,1.0,0.26666666666666666,0.26666666666666666,0.4,0.26666666666666666,0
intent_classifier,False,ALL,70,1.0,0.9142857142857143,0.9142857142857143,0.9285714285714286,0.9142857142857143,0
intent_classifier,False,basic,20,1.0,1.0,1.0,1.0,1.0,0
intent_classifier,False,complex_reference,15,1.0,0.7333333333333333,0.7333333333333333,0.8,0.7333333333333333,0
intent_classifier,False,natural_language_variation,20,1.0,0.9,0.9,0.9,0.9,0
intent_classifier,False,truly_ambiguous_or_unresolvable,15,1.0,1.0,1.0,1.0,1.0,0
intent_classifier_stage3,True,ALL,70,1.0,0.8142857142857143,0.8142857142857143,0.8857142857142857,0.8142857142857143,0
intent_classifier_stage3,True,basic,20,1.0,1.0,1.0,1.0,1.0,0
intent_classifier_stage3,True,complex_reference,15,1.0,0.8,0.8,1.0,0.8,0
intent_classifier_stage3,True,natural_language_variation,20,1.0,1.0,1.0,1.0,1.0,0
intent_classifier_stage3,True,truly_ambiguous_or_unresolvable,15,1.0,0.3333333333333333,0.3333333333333333,0.4666666666666667,0.3333333333333333,0
slot_tagger,False,ALL,70,1.0,0.9142857142857143,0.9142857142857143,0.9285714285714286,0.9142857142857143,0
slot_tagger,False,basic,20,1.0,0.95,0.95,0.95,0.95,0
slot_tagger,False,complex_reference,15,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0
slot_tagger,False,natural_language_variation,20,1.0,0.8,0.8,0.8,0.8,0
slot_tagger,False,truly_ambiguous_or_unresolvable,15,1.0,1.0,1.0,1.0,1.0,0
slot_tagger_stage3,True,ALL,70,1.0,0.8285714285714286,0.8285714285714286,0.8714285714285714,0.8285714285714286,0
slot_tagger_stage3,True,basic,20,1.0,1.0,1.0,1.0,1.0,0
slot_tagger_stage3,True,complex_reference,15,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0
slot_tagger_stage3,True,natural_language_variation,20,1.0,0.9,0.9,0.9,0.9,0
slot_tagger_stage3,True,truly_ambiguous_or_unresolvable,15,1.0,0.4,0.4,0.5333333333333333,0.4,0
